timestamp,data,mark
timestamp,data,mark
2024-11-06T19:31:17.038759675+08:00,182739745,"far3
"
2024-11-06T19:31:17.139936360+08:00,182730801,"far3
"
2024-11-06T19:31:17.241119397+08:00,182726481,"far3
"
2024-11-06T19:31:17.342292860+08:00,182730801,"far3
"
2024-11-06T19:31:17.443455156+08:00,182730801,"far3
"
2024-11-06T19:31:17.544617415+08:00,182712641,"far3
"
2024-11-06T19:31:17.645791082+08:00,182730801,"far3
"
2024-11-06T19:31:17.746960785+08:00,182740033,"far3
"
2024-11-06T19:31:20.616382469+08:00,182721569,"far3
"
2024-11-06T19:31:20.717617191+08:00,182721857,"far3
"
2024-11-06T19:31:20.818788154+08:00,182712641,"far3
"
2024-11-06T19:31:20.919954246+08:00,182730801,"far3
"
2024-11-06T19:31:21.021118024+08:00,182712641,"far3
"
2024-11-06T19:31:21.122279228+08:00,182726193,"far3
"
2024-11-06T19:31:21.223456098+08:00,182730801,"far3
"
2024-11-06T19:31:21.324629672+08:00,182708017,"far3
"
2024-11-06T19:31:21.425791876+08:00,182739745,"far3
"
2024-11-06T19:31:21.526953061+08:00,182703409,"far3
"
2024-11-06T19:31:28.948501964+08:00,182721569,"far4
"
2024-11-06T19:31:29.049717093+08:00,182726193,"far4
"
2024-11-06T19:31:29.150896519+08:00,182721857,"far4
"
2024-11-06T19:31:29.252071056+08:00,182721569,"far4
"
2024-11-06T19:31:29.353236612+08:00,182721569,"far4
"
2024-11-06T19:31:29.454398538+08:00,182721569,"far4
"
2024-11-06T19:31:29.555558482+08:00,182739745,"far4
"
2024-11-06T19:31:29.656733038+08:00,182712641,"far4
"
2024-11-06T19:31:29.757902612+08:00,182717249,"far4
"
2024-11-06T19:31:29.859078408+08:00,182730801,"far4
"
2024-11-06T19:31:55.332048189+08:00,182730801,"111
"
2024-11-06T19:31:55.433266559+08:00,182739745,"111
"
2024-11-06T19:31:55.534429670+08:00,182735137,"111
"
2024-11-06T19:31:55.635594985+08:00,182712641,"111
"
2024-11-06T19:31:55.736768207+08:00,182739745,"111
"
2024-11-06T19:31:55.837938152+08:00,182739745,"111
"
2024-11-06T19:31:55.939104559+08:00,182739745,"111
"
2024-11-06T19:31:56.040266337+08:00,182721569,"111
"
